id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
TEST-L-0001,2026-09-15,Distribuidora Lomas,Pilas AA pack x 4,2,1037.5,tarjeta
TEST-L-0002,2026-09-16,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,1075.0,efectivo
TEST-L-0003,2026-09-17,,Aceite 20W50 x 4 L,4,1112.5,transferencia
TEST-L-0004,2026-09-18,Corralon Belgrano,Cemento bolsa 50 kg,5,1150.0,tarjeta
TEST-L-0005,2026-09-19,Ferreteria San Martin,Pilas AA pack x 4,6,1187.5,efectivo
TEST-L-0006,2026-09-20,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,1225.0,transferencia
TEST-L-0007,2026-09-14,Kiosco El Trebol,Aceite 20W50 x 4 L,8,1262.5,tarjeta
TEST-L-0008,2026-09-15,,Cemento bolsa 50 kg,9,1300.0,efectivo
TEST-L-0009,2026-09-16,Corralon Belgrano,Pilas AA pack x 4,10,1337.5,transferencia
TEST-L-0010,2026-09-17,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,1375.0,tarjeta
TEST-L-0011,2026-09-18,Distribuidora Lomas,Aceite 20W50 x 4 L,12,1412.5,efectivo
TEST-L-0012,2026-09-19,Kiosco El Trebol,Cemento bolsa 50 kg,13,1450.0,transferencia
TEST-L-0013,2026-09-20,,Pilas AA pack x 4,14,1487.5,tarjeta
TEST-L-0014,2026-09-14,Corralon Belgrano,Harina 000 bolsa 25 kg,15,1525.0,efectivo
TEST-L-0015,2026-09-15,Ferreteria San Martin,Aceite 20W50 x 4 L,16,1562.5,transferencia
TEST-L-0016,2026-09-16,Distribuidora Lomas,Cemento bolsa 50 kg,17,1600.0,tarjeta
TEST-L-0017,2026-09-17,Kiosco El Trebol,Pilas AA pack x 4,18,1637.5,efectivo
TEST-L-0018,2026-09-18,,Harina 000 bolsa 25 kg,19,1675.0,transferencia
TEST-L-0019,2026-09-19,Corralon Belgrano,Aceite 20W50 x 4 L,20,1712.5,tarjeta
TEST-L-0020,2026-09-20,Ferreteria San Martin,Cemento bolsa 50 kg,1,1750.0,efectivo
TEST-L-0021,2026-09-14,Distribuidora Lomas,Pilas AA pack x 4,2,1787.5,transferencia
TEST-L-0022,2026-09-15,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,1825.0,tarjeta
TEST-L-0023,2026-09-16,,Aceite 20W50 x 4 L,4,1862.5,efectivo
TEST-L-0024,2026-09-17,Corralon Belgrano,Cemento bolsa 50 kg,5,1900.0,transferencia
TEST-L-0025,2026-09-18,Ferreteria San Martin,Pilas AA pack x 4,6,1937.5,tarjeta
TEST-L-0026,2026-09-19,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,1975.0,efectivo
TEST-L-0027,2026-09-20,Kiosco El Trebol,Aceite 20W50 x 4 L,8,2012.5,transferencia
TEST-L-0028,2026-09-14,,Cemento bolsa 50 kg,9,2050.0,tarjeta
TEST-L-0029,2026-09-15,Corralon Belgrano,Pilas AA pack x 4,10,2087.5,efectivo
TEST-L-0030,2026-09-16,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,2125.0,transferencia
TEST-L-0031,2026-09-17,Distribuidora Lomas,Aceite 20W50 x 4 L,12,2162.5,tarjeta
TEST-L-0032,2026-09-18,Kiosco El Trebol,Cemento bolsa 50 kg,13,2200.0,efectivo
TEST-L-0033,2026-09-19,,Pilas AA pack x 4,14,2237.5,transferencia
TEST-L-0034,2026-09-20,Corralon Belgrano,Harina 000 bolsa 25 kg,15,2275.0,tarjeta
TEST-L-0035,2026-09-14,Ferreteria San Martin,Aceite 20W50 x 4 L,16,2312.5,efectivo
TEST-L-0036,2026-09-15,Distribuidora Lomas,Cemento bolsa 50 kg,17,2350.0,transferencia
TEST-L-0037,2026-09-16,Kiosco El Trebol,Pilas AA pack x 4,18,2387.5,tarjeta
TEST-L-0038,2026-09-17,,Harina 000 bolsa 25 kg,19,2425.0,efectivo
TEST-L-0039,2026-09-18,Corralon Belgrano,Aceite 20W50 x 4 L,20,2462.5,transferencia
TEST-L-0040,2026-09-19,Ferreteria San Martin,Cemento bolsa 50 kg,1,2500.0,tarjeta
TEST-L-0041,2026-09-20,Distribuidora Lomas,Pilas AA pack x 4,2,2537.5,efectivo
TEST-L-0042,2026-09-14,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,2575.0,transferencia
TEST-L-0043,2026-09-15,,Aceite 20W50 x 4 L,4,2612.5,tarjeta
TEST-L-0044,2026-09-16,Corralon Belgrano,Cemento bolsa 50 kg,5,2650.0,efectivo
TEST-L-0045,2026-09-17,Ferreteria San Martin,Pilas AA pack x 4,6,2687.5,transferencia
TEST-L-0046,2026-09-18,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,2725.0,tarjeta
TEST-L-0047,2026-09-19,Kiosco El Trebol,Aceite 20W50 x 4 L,8,2762.5,efectivo
TEST-L-0048,2026-09-20,,Cemento bolsa 50 kg,9,2800.0,transferencia
TEST-L-0049,2026-09-14,Corralon Belgrano,Pilas AA pack x 4,10,2837.5,tarjeta
TEST-L-0050,2026-09-15,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,2875.0,efectivo
TEST-L-0051,2026-09-16,Distribuidora Lomas,Aceite 20W50 x 4 L,12,2912.5,transferencia
TEST-L-0052,2026-09-17,Kiosco El Trebol,Cemento bolsa 50 kg,13,2950.0,tarjeta
TEST-L-0053,2026-09-18,,Pilas AA pack x 4,14,2987.5,efectivo
TEST-L-0054,2026-09-19,Corralon Belgrano,Harina 000 bolsa 25 kg,15,3025.0,transferencia
TEST-L-0055,2026-09-20,Ferreteria San Martin,Aceite 20W50 x 4 L,16,3062.5,tarjeta
TEST-L-0056,2026-09-14,Distribuidora Lomas,Cemento bolsa 50 kg,17,3100.0,efectivo
TEST-L-0057,2026-09-15,Kiosco El Trebol,Pilas AA pack x 4,18,3137.5,transferencia
TEST-L-0058,2026-09-16,,Harina 000 bolsa 25 kg,19,3175.0,tarjeta
TEST-L-0059,2026-09-17,Corralon Belgrano,Aceite 20W50 x 4 L,20,3212.5,efectivo
TEST-L-0060,2026-09-18,Ferreteria San Martin,Cemento bolsa 50 kg,1,3250.0,transferencia
TEST-L-0061,2026-09-19,Distribuidora Lomas,Pilas AA pack x 4,2,3287.5,tarjeta
TEST-L-0062,2026-09-20,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,3325.0,efectivo
TEST-L-0063,2026-09-14,,Aceite 20W50 x 4 L,4,3362.5,transferencia
TEST-L-0064,2026-09-15,Corralon Belgrano,Cemento bolsa 50 kg,5,3400.0,tarjeta
TEST-L-0065,2026-09-16,Ferreteria San Martin,Pilas AA pack x 4,6,3437.5,efectivo
TEST-L-0066,2026-09-17,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,3475.0,transferencia
TEST-L-0067,2026-09-18,Kiosco El Trebol,Aceite 20W50 x 4 L,8,3512.5,tarjeta
TEST-L-0068,2026-09-19,,Cemento bolsa 50 kg,9,3550.0,efectivo
TEST-L-0069,2026-09-20,Corralon Belgrano,Pilas AA pack x 4,10,3587.5,transferencia
TEST-L-0070,2026-09-14,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,3625.0,tarjeta
