id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
V-1001,2025-10-01,Distribuidora Sur,Servicio mensual,1,46679.50,cheque
V-1002,2025-10-01,Imprenta Rapida,Agua mineral x6,16,28822.43,efectivo
V-1003,2025-10-01,Mueblerias Hogar,Disco SSD 1TB,3,227802.61,tarjeta
V-1004,2025-10-01,Carniceria El Toro,Detergente 5L,15,65195.47,transferencia
V-1005,2025-10-01,Inmobiliaria Sol,Pendrive 64GB,14,126337.65,transferencia
V-1006,2025-10-01,Marta Gomez,Mouse inalambrico,3,26772.02,transferencia
V-1007,2025-10-01,Farmacia San Martin,Disco SSD 1TB,2,164505.97,transferencia
V-1008,2025-10-01,Ana Martinez,Notebook Lenovo,3,1965780.95,efectivo
V-1009,2025-10-01,Estudio Contable RyR,Notebook Lenovo,2,1317878.50,tarjeta
V-1010,2025-10-01,Valentina Diaz,Detergente 5L,19,85622.87,tarjeta
V-1011,2025-10-01,Restaurante El Puerto,Lapiceras x12,27,68646.96,efectivo
V-1012,2025-10-01,Imprenta Rapida,Notebook Lenovo,2,1212113.55,mercadopago
V-1013,2025-10-02,Carlos Rodriguez,Notebook Lenovo,1,650215.08,tarjeta
V-1014,2025-10-02,Hotel Plaza,Disco SSD 1TB,4,319799.01,efectivo
V-1015,2025-10-02,Carlos Rodriguez,Cartucho tinta,4,27435.96,transferencia
V-1016,2025-10-02,Libreria Central,Tornillos x100,48,7026.38,efectivo
V-1017,2025-10-02,Consultora Delta,Toner HP,4,29423.31,tarjeta
V-1018,2025-10-02,Farmacia San Martin,Golosinas surtidas,40,6100.78,transferencia
V-1019,2025-10-02,Imprenta Rapida,Monitor 24'',2,326875.72,tarjeta
V-1020,2025-10-02,Lucia Fernandez,Disco SSD 1TB,6,460404.78,tarjeta
V-1021,2025-10-02,Imprenta Rapida,Servicio de mantenimiento,1,29266.44,tarjeta
V-1022,2025-10-02,Peluqueria Glamour,Tornillos x100,38,5554.90,transferencia
V-1023,2025-10-02,Supermercado Don Pepe,Cartucho tinta,7,41786.70,mercadopago
V-1024,2025-10-02,Restaurante El Puerto,Detergente 5L,12,48697.15,transferencia
V-1025,2025-10-02,Valentina Diaz,Disco SSD 1TB,5,377287.42,efectivo
V-1026,2025-10-03,Gimnasio Fuerza,Agua mineral x6,5,8306.50,tarjeta
V-1027,2025-10-03,Cafe Colonial,Carpeta A4,46,56455.26,transferencia
V-1028,2025-10-03,Pedro Sanchez,Notebook Lenovo,3,2003465.58,mercadopago
V-1029,2025-10-03,Restaurante El Puerto,Toner HP,4,30822.71,transferencia
V-1030,2025-10-03,Peluqueria Glamour,Lapiceras x12,28,70835.44,efectivo
V-1031,2025-10-03,Carlos Rodriguez,Monitor 24'',4,654314.64,transferencia
V-1032,2025-10-03,Carniceria El Toro,Resma A4,11,10165.59,tarjeta
V-1033,2025-10-03,Ana Martinez,Agua mineral x6,9,15262.93,efectivo
V-1034,2025-10-03,Almacen La Paz,Teclado mecanico,1,35762.40,tarjeta
V-1035,2025-10-04,Veterinaria Patitas,Resma A4,14,12539.84,transferencia
V-1036,2025-10-04,Farmacia San Martin,Resma A4,8,7409.94,tarjeta
V-1037,2025-10-04,Clinica Belgrano,Servicio de mantenimiento,1,34630.31,tarjeta
V-1038,2025-10-04,Garcia SA,Agua mineral x6,30,53276.67,tarjeta
V-1039,2025-10-04,Cafe Colonial,Toner HP,5,36497.78,transferencia
V-1040,2025-10-04,Kiosco El Sol,Cable HDMI,10,31818.62,tarjeta
V-1041,2025-10-04,Lucia Fernandez,Lapiceras x12,5,11495.61,tarjeta
V-1042,2025-10-04,Garcia SA,Cuaderno,33,14497.80,tarjeta
V-1043,2025-10-04,Constructora Norte,Cartucho tinta,4,24109.18,efectivo
V-1044,2025-10-04,Panaderia Ortiz,Pendrive 64GB,18,146726.34,transferencia
V-1045,2025-10-04,Comercial Andrade,Carpeta A4,46,53799.36,tarjeta
V-1046,2025-10-04,Comercial Andrade,Cartucho tinta,3,18030.62,tarjeta
V-1047,2025-10-05,Ferreteria Nuñez,Mouse inalambrico,9,89038.35,transferencia
V-1048,2025-10-05,Gimnasio Fuerza,Cable HDMI,12,45389.79,transferencia
V-1049,2025-10-05,Panaderia Ortiz,Carpeta A4,46,59080.11,transferencia
V-1050,2025-10-05,Carlos Rodriguez,Cafe en grano,11,23472.89,transferencia
V-1051,2025-10-05,Valentina Diaz,Detergente 5L,20,89917.82,tarjeta
V-1052,2025-10-05,Kiosco El Sol,Cartucho tinta,2,12455.70,transferencia
V-1053,2025-10-05,Gimnasio Fuerza,Servicio mensual,1,49063.86,transferencia
V-1054,2025-10-05,Cafe Colonial,Agua mineral x6,20,33120.32,transferencia
V-1055,2025-10-05,Veterinaria Patitas,Servicio mensual,1,44872.75,tarjeta
V-1056,2025-10-05,Hotel Plaza,Cuaderno,14,6382.60,efectivo
V-1057,2025-10-05,Taller Mecanico Lopez,Teclado mecanico,2,68473.44,efectivo
V-1058,2025-10-05,Consultora Delta,Bolsas x100,52,58811.19,efectivo
V-1059,2025-10-05,Transportes Rios,Golosinas surtidas,62,10002.87,tarjeta
V-1060,2025-10-05,Estudio Contable RyR,Disco SSD 1TB,3,224413.71,transferencia
V-1061,2025-10-05,Distribuidora Sur,Licencia software anual,1,128203.03,mercadopago
V-1062,2025-10-05,Kiosco El Sol,Servicio mensual,1,47101.90,efectivo
V-1063,2025-10-05,Garcia SA,Carpeta A4,6,7703.41,efectivo
V-1064,2025-10-05,Ana Martinez,Servicio de mantenimiento,1,33722.88,mercadopago
V-1065,2025-10-05,Carniceria El Toro,Cartucho tinta,5,32782.55,tarjeta
V-1066,2025-10-06,Supermercado Don Pepe,Disco SSD 1TB,2,145974.56,mercadopago
V-1067,2025-10-06,Peluqueria Glamour,Servicio de mantenimiento,1,29656.84,tarjeta
V-1068,2025-10-06,Taller Mecanico Lopez,Mouse inalambrico,6,58825.49,efectivo
V-1069,2025-10-06,Distribuidora Sur,Hosting mensual,1,12617.29,tarjeta
V-1070,2025-10-06,Panaderia Ortiz,Tornillos x100,41,7148.71,efectivo
V-1071,2025-10-06,Diego Torres,Silla ergonomica,3,258803.93,transferencia
V-1072,2025-10-06,Ana Martinez,Aceite x12,6,32380.69,tarjeta
V-1073,2025-10-07,Transportes Rios,Hosting mensual,1,11731.42,mercadopago
V-1074,2025-10-07,Inmobiliaria Sol,Notebook Lenovo,3,1794554.45,tarjeta
V-1075,2025-10-07,Agropecuaria Campo Verde,Aceite x12,5,28948.20,transferencia
V-1076,2025-10-07,Kiosco El Sol,Agua mineral x6,29,50793.70,tarjeta
V-1077,2025-10-07,Gimnasio Fuerza,Mouse inalambrico,4,39328.35,efectivo
V-1078,2025-10-07,Martin Castro,Armazon,4,65628.95,transferencia
V-1079,2025-10-07,Supermercado Don Pepe,Carpeta A4,13,15412.48,transferencia
V-1080,2025-10-07,Libreria Central,Agua mineral x6,22,37315.22,transferencia
V-1081,2025-10-07,Clinica Belgrano,Licencia software anual,1,123866.63,efectivo
V-1082,2025-10-07,Escuela Sarmiento,Cable HDMI,2,6974.12,tarjeta
V-1083,2025-10-07,Clinica Belgrano,Servicio de mantenimiento,1,32942.46,transferencia
V-1084,2025-10-08,Optica Vision,Notebook Lenovo,1,629112.33,transferencia
V-1085,2025-10-08,Panaderia Ortiz,Lapiceras x12,3,7762.75,transferencia
V-1086,2025-10-08,Constructora Norte,Aceite x12,3,17156.91,tarjeta
V-1087,2025-10-08,Restaurante El Puerto,Servicio de mantenimiento,1,34422.46,mercadopago
V-1088,2025-10-08,Escuela Sarmiento,Servicio mensual,1,45958.73,efectivo
V-1089,2025-10-08,Martin Castro,Tornillos x100,19,3240.86,transferencia
V-1090,2025-10-08,Peluqueria Glamour,Servicio de mantenimiento,1,32788.56,transferencia
V-1091,2025-10-08,Transportes Rios,Cable HDMI,11,37288.57,tarjeta
V-1092,2025-10-08,Distribuidora Sur,Resma A4,19,18351.83,transferencia
V-1093,2025-10-08,Martin Castro,Servicio mensual,1,47938.63,transferencia
V-1094,2025-10-09,Carniceria El Toro,Silla ergonomica,5,484482.31,tarjeta
V-1095,2025-10-09,Distribuidora Sur,Toner HP,1,8071.23,mercadopago
V-1096,2025-10-09,Almacen La Paz,Cartucho tinta,1,7016.06,tarjeta
V-1097,2025-10-09,Almacen La Paz,Armazon,1,16112.69,transferencia
V-1098,2025-10-09,Pedro Sanchez,Hosting mensual,1,12694.93,tarjeta
V-1099,2025-10-09,Farmacia San Martin,Hosting mensual,1,11821.17,tarjeta
V-1100,2025-10-09,Martin Castro,Cafe en grano,15,27502.91,mercadopago
V-1101,2025-10-09,Comercial Andrade,Teclado mecanico,3,106909.68,tarjeta
V-1102,2025-10-09,Ana Martinez,Toner HP,5,36508.27,efectivo
V-1103,2025-10-09,Panaderia Ortiz,Harina x25kg,8,24116.86,tarjeta
V-1104,2025-10-09,Carniceria El Toro,Servicio de mantenimiento,1,30472.34,tarjeta
V-1105,2025-10-09,Constructora Norte,Armazon,3,51073.73,efectivo
V-1106,2025-10-09,Escuela Sarmiento,Teclado mecanico,5,200783.96,transferencia
V-1107,2025-10-10,Lucia Fernandez,Cartucho tinta,8,49439.29,tarjeta
V-1108,2025-10-10,Distribuidora Sur,Disco SSD 1TB,6,440831.68,efectivo
V-1109,2025-10-10,Sofia Ramirez,Detergente 5L,5,22040.82,efectivo
V-1110,2025-10-10,Constructora Norte,Tornillos x100,11,1659.49,efectivo
V-1111,2025-10-10,Comercial Andrade,Hosting mensual,1,11185.77,efectivo
V-1112,2025-10-10,Martin Castro,Capacitacion,1,59660.02,tarjeta
V-1113,2025-10-10,Ferreteria Nuñez,Resma A4,21,19633.12,tarjeta
V-1114,2025-10-10,Constructora Norte,Cable HDMI,7,26610.36,tarjeta
V-1115,2025-10-10,Martin Castro,Lapiceras x12,11,27517.28,transferencia
V-1116,2025-10-10,Sofia Ramirez,Disco SSD 1TB,2,154208.74,transferencia
V-1117,2025-10-11,Juan Perez,Pendrive 64GB,17,138315.59,efectivo
V-1118,2025-10-11,Cafe Colonial,Lapiceras x12,18,44914.61,transferencia
V-1119,2025-10-11,Comercial Andrade,Notebook Lenovo,2,1175335.64,cheque
V-1120,2025-10-11,Gimnasio Fuerza,Resma A4,22,22998.26,efectivo
V-1121,2025-10-11,Comercial Andrade,Mouse inalambrico,10,92126.08,efectivo
V-1122,2025-10-11,Valentina Diaz,Resma A4,10,9998.19,mercadopago
V-1123,2025-10-11,Consultora Delta,Armazon,3,50808.58,transferencia
V-1124,2025-10-11,Agropecuaria Campo Verde,Servicio mensual,1,48867.42,transferencia
V-1125,2025-10-11,Valentina Diaz,Tornillos x100,31,4966.19,transferencia
V-1126,2025-10-11,Peluqueria Glamour,Cuaderno,26,12746.02,mercadopago
V-1127,2025-10-11,Agropecuaria Campo Verde,Carpeta A4,39,49731.06,transferencia
V-1128,2025-10-11,Taller Mecanico Lopez,Monitor 24'',4,729096.28,efectivo
V-1129,2025-10-12,Mueblerias Hogar,Disco SSD 1TB,4,310895.68,efectivo
V-1130,2025-10-12,Pedro Sanchez,Silla ergonomica,1,90398.58,tarjeta
V-1131,2025-10-12,Imprenta Rapida,Cafe en grano,12,24965.65,tarjeta
V-1132,2025-10-12,Farmacia San Martin,Armazon,1,16122.54,transferencia
V-1133,2025-10-12,Veterinaria Patitas,Resma A4,30,30731.77,transferencia
